URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://example.org/ValueSet/gen---countries-vs,0.1.0,draft,,GENCountriesVS,GEN - Countries value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-animal-status-vs,0.1.0,draft,,MPOXCSAnimalStatusVS,MPOX CS: Animal status value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-case-classification-crf-vs,0.1.0,draft,,MPOXCSCaseClassificationCRFVS,MPOX CS: Case classification (CRF) value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-clade-mpox-vs,0.1.0,draft,,MPOXCSCladeMpoxVS,MPOX CS: Clade Mpox value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-contact-frequency-vs,0.1.0,draft,,MPOXCSContactFrequencyVS,MPOX CS: Contact frequency value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-current-status-vs,0.1.0,draft,,MPOXCSCurrentStatusVS,MPOX CS: Current status value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-gender-sexual-partners-vs,0.1.0,draft,,MPOXCSGenderSexualPartnersVS,MPOX CS: Gender sexual partners value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-gender-vs,0.1.0,draft,,MPOXCSGenderVS,MPOX CS: Gender value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-hand-hygiene-ppe-vs,0.1.0,draft,,MPOXCSHandHygienePPEVS,MPOX CS: Hand hygiene PPE value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-hiv-status-assessment-vs,0.1.0,draft,,MPOXCSHIVStatusAssessmentVS,MPOX CS: HIV status assessment value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-hiv-status-vs,0.1.0,draft,,MPOXCSHIVStatusVS,MPOX CS: HIV status value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-immunosuppressed-status-vs,0.1.0,draft,,MPOXCSImmunosuppressedStatusVS,MPOX CS: Immunosuppressed status value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-likely-mode-of-transmission-mpox-vs,0.1.0,draft,,MPOXCSLikelyModeOfTransmissionMpoxVS,MPOX CS: Likely mode of transmission (Mpox) value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-maximum-duration-encounters-vs,0.1.0,draft,,MPOXCSMaximumDurationEncountersVS,MPOX CS: Maximum duration encounters value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-outcome-disease-vs,0.1.0,draft,,MPOXCSOutcomeDiseaseVS,MPOX CS: Outcome disease value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-place-animal-contact-vs,0.1.0,draft,,MPOXCSPlaceAnimalContactVS,MPOX CS: Place animal contact value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-ppe-used-during-exposure-vs,0.1.0,draft,,MPOXCSPPEUsedDuringExposureVS,MPOX CS: PPE used during exposure value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-pregnancy-status-vs,0.1.0,draft,,MPOXCSPregnancyStatusVS,MPOX CS: Pregnancy status value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-protected-sex-vs,0.1.0,draft,,MPOXCSProtectedSexVS,MPOX CS: Protected sex value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-relationship-case-vs,0.1.0,draft,,MPOXCSRelationshipCaseVS,MPOX CS: Relationship case value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-result-sample-vs,0.1.0,draft,,MPOXCSResultSampleVS,MPOX CS: Result sample value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-sex-vs,0.1.0,draft,,MPOXCSSexVS,MPOX CS: Sex value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-sexual-behavior-vs,0.1.0,draft,,MPOXCSSexualBehaviorVS,MPOX CS: Sexual behavior value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-sexual-partner-last-3-months-vs,0.1.0,draft,,MPOXCSSexualPartnerLast3MonthsVS,MPOX CS: Sexual partner last 3 months value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-type-of-animal-vs,0.1.0,draft,,MPOXCSTypeOfAnimalVS,MPOX CS: Type of animal value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-type-of-contact-forward-tracing-vs,0.1.0,draft,,MPOXCSTypeOfContactForwardTracingVS,MPOX CS: Type of contact (forward tracing) value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-vaccination-current-event-vs,0.1.0,draft,,MPOXCSVaccinationCurrentEventVS,MPOX CS: Vaccination current event value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-vaccine-brand-vs,0.1.0,draft,,MPOXCSVaccineBrandVS,MPOX CS: Vaccine brand value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-vaccine-doses-vs,0.1.0,draft,,MPOXCSVaccineDosesVS,MPOX CS: Vaccine doses value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-viral-load-vs,0.1.0,draft,,MPOXCSViralLoadVS,MPOX CS: Viral load value set,"",,"Internal"
http://example.org/ValueSet/mpox-cs-yes-no-unknown-vs,0.1.0,draft,,MPOXCSYesNoUnknownVS,MPOX CS: Yes/No/Unknown value set,"",,"Internal"
